Id_bien;Date;Valeur
387;2020-06-30;907500
388;2020-06-30;751478,56
389;2020-06-30;373560
390;2020-06-30;910000
391;2020-06-30;1493574
392;2020-06-30;155000
393;2020-06-30;225000
394;2020-06-30;260000
395;2020-06-30;315000
396;2020-06-30;160000
397;2020-06-30;138000
398;2020-06-30;145000
399;2020-06-30;302360
400;2020-06-30;45000
401;2020-06-30;335000
402;2020-06-30;620000
403;2020-06-30;445000
404;2020-06-30;182000
405;2020-06-30;125000
406;2020-06-30;189900
407;2020-06-30;373950
408;2020-06-30;155000
409;2020-06-30;294000
410;2020-06-30;485000
411;2020-06-30;264000
412;2020-06-30;175000
413;2020-06-30;128000
414;2020-06-30;351560
415;2020-06-30;285000
416;2020-06-30;173000
417;2020-06-30;179000
418;2020-06-30;176000
419;2020-06-30;180000
420;2020-06-30;78000
421;2020-06-30;385000
422;2020-06-30;125000
423;2020-06-30;325320
424;2020-06-30;232000
425;2020-06-30;210000
426;2020-06-30;205000
427;2020-06-30;370000
428;2020-06-30;755000
429;2020-06-30;299000
430;2020-06-30;310000
431;2020-06-30;199900
432;2020-06-30;180000
433;2020-06-30;240566
434;2020-06-30;395000
435;2020-06-30;246800
436;2020-06-30;489550
437;2020-06-30;100000
438;2020-06-30;90000
439;2020-06-30;539000
440;2020-06-30;220000
441;2020-06-30;175500
442;2020-06-30;406350
443;2020-06-30;345000
444;2020-06-30;194000
445;2020-06-30;383060,4
446;2020-06-30;259500
447;2020-06-30;401000
448;2020-06-30;120000
449;2020-06-30;380000
450;2020-06-30;319000
451;2020-06-30;210000
452;2020-06-30;140000
453;2020-06-30;320000
454;2020-06-30;235000
455;2020-06-30;573900
456;2020-06-30;621725
457;2020-06-30;197000
458;2020-06-30;122000
459;2020-06-30;189000
460;2020-06-30;425000
461;2020-06-30;200000
462;2020-06-30;143000
463;2020-06-30;269000
464;2020-06-30;225000
465;2020-06-30;168000
466;2020-06-30;160000
467;2020-06-30;90000
468;2020-06-30;174000
469;2020-06-30;127000
470;2020-06-30;182000
471;2020-06-30;468000
472;2020-06-30;355000
473;2020-06-30;162000
474;2020-06-30;136000
475;2020-06-30;68000
476;2020-06-30;149000
477;2020-06-30;205000
478;2020-06-30;270000
479;2020-06-30;350500
480;2020-06-30;145000
481;2020-06-30;199500
482;2020-06-30;160000
483;2020-06-30;132000
484;2020-06-30;115000
485;2020-06-30;129000
486;2020-06-30;212000
487;2020-06-30;220000
488;2020-06-30;121000
489;2020-06-29;55800
490;2020-06-29;76000
491;2020-06-29;90250
492;2020-06-29;130000
493;2020-06-29;120000
494;2020-06-29;665000
495;2020-06-29;99551
496;2020-06-29;179900
497;2020-06-29;145000
498;2020-06-29;80000
499;2020-06-29;90000
500;2020-06-29;54000
501;2020-06-29;42000
502;2020-06-29;92600
503;2020-06-29;71000
504;2020-06-29;105000
505;2020-06-29;52000
506;2020-06-29;72000
507;2020-06-29;42000
508;2020-06-29;108000
509;2020-06-29;68000
510;2020-06-29;75000
511;2020-06-29;155000
512;2020-06-29;25000
513;2020-06-29;113180
514;2020-06-29;198000
515;2020-06-29;309800
516;2020-06-29;158000
517;2020-06-29;35000
518;2020-06-29;65750
519;2020-06-29;52000
520;2020-06-29;104500
521;2020-06-29;40000
522;2020-06-29;75000
523;2020-06-29;106000
524;2020-06-29;85000
525;2020-06-29;240000
526;2020-06-29;40000
527;2020-06-29;107510
528;2020-06-29;166300
529;2020-06-29;200000
530;2020-06-29;120700
531;2020-06-29;242462
532;2020-06-29;333000
533;2020-06-29;398500
534;2020-06-29;78500
535;2020-06-29;170000
536;2020-06-29;92000
537;2020-06-29;138000
538;2020-06-29;210000
539;2020-06-29;250000
540;2020-06-29;213000
541;2020-06-29;218000
542;2020-06-29;81000
543;2020-06-29;40000
544;2020-06-29;152000
545;2020-06-29;50100
546;2020-06-29;120700
547;2020-06-29;85500
548;2020-06-29;99400
549;2020-06-29;105000
550;2020-06-29;120000
551;2020-06-29;125820
552;2020-06-29;42000
553;2020-06-29;73850
554;2020-06-29;190100
555;2020-06-29;38450
556;2020-06-29;74000
557;2020-06-29;732100
558;2020-06-29;76406,3
559;2020-06-29;315000
560;2020-06-29;69000
561;2020-06-29;240385
562;2020-06-29;339850
563;2020-06-29;72560
564;2020-06-29;159000
565;2020-06-29;52000
566;2020-06-29;94000
567;2020-06-29;114000
568;2020-06-29;18000
569;2020-06-29;130000
570;2020-06-29;225000
571;2020-06-29;160450
572;2020-06-29;160000
573;2020-06-29;80000
574;2020-06-29;135000
575;2020-06-29;210000
576;2020-06-29;403885
577;2020-06-29;265000
578;2020-06-29;130000
579;2020-06-29;282000
580;2020-06-29;80000
581;2020-06-29;91000
582;2020-06-29;24000
583;2020-06-29;65000
584;2020-06-29;85000
585;2020-06-29;200000
586;2020-06-29;22500
587;2020-06-29;74000
588;2020-06-29;63800
589;2020-06-29;99000
590;2020-06-29;75500
591;2020-06-29;75000
592;2020-06-29;217200
593;2020-06-29;91600
594;2020-06-29;66000
595;2020-06-29;81000
596;2020-06-29;61000
597;2020-06-29;61320
598;2020-06-29;195000
599;2020-06-29;433202
600;2020-06-29;127500
601;2020-06-29;260200
602;2020-06-29;289500
603;2020-06-29;72000
604;2020-06-29;220000
605;2020-06-29;230000
606;2020-06-29;162000
