Id_bien;Id_codedep_codecommune;No_voie;BTQ;Type_de_voie;Voie;Nombre_de_piece;Surface Carrez du 1er lot;Surface_local;Type_de_location
8567;63300;29;;RUE;DE L HOTEL DE VILLE;7;156,38;190;2
8568;64129;17;T;RUE;JEANNE LASSANSAA;3;60,69;60;2
8569;64204;14;;AV;CASTELLANE;1;35,47;35;2
8570;66020;;;RES;LE CLOS DES PINS;2;36,44;38;2
8571;69027;116;;RUE;GENERAL DE GAULLE;2;50,23;55;2
8572;69029;2;;RUE;EUGENE GUILLEMIN;4;96,05;95;2
8573;69069;20;;RUE;DES AQUEDUCS;2;36,69;40;2
8574;69081;2;;RUE;AUGUSTE TRAMIER;5;102,73;104;2
8575;69091;60;;RUE;DU MOULIN;1;44,59;49;2
8576;69126;11;;RUE;DE LA TOUR;4;90,97;91;1
8577;69244;18;;AV;DE LA CONSTELLATION;3;61,72;60;2
8578;69248;15;;RUE;FRANCOIS COQUARD;2;31,07;33;2
8579;69259;6;;RUE;PASTEUR;1;28,51;28;2
8580;69264;103;;AV;JOSEPH BALLOFFET;2;47,74;47;2
8581;69266;8;;RUE;JULES VALLES;3;65,37;64;2
8582;69266;47;;RUE;PAUL VERLAINE;4;89,27;88;2
8583;69283;21;;AV;JEAN JAURES;2;50,47;50;2
8584;69290;10;;IMP;BEAU VALLON;3;67,22;67;2
8585;69382;48;;RUE;VICTOR HUGO;4;77,45;83;2
8586;69383;39;;RUE;LEON JOUHAUX;4;118,91;122;2
8587;69383;34;;AV;LACASSAGNE;2;65,39;63;2
8588;69384;17;;RUE;RICHAN;2;57,78;57;2
8589;69388;25;;RUE;JACQUELINE AURIOL;3;70,58;70;2
8590;69388;71;;AV;PAUL SANTY;2;45,09;44;2
8591;69388;17;;RUE;PAUL CAZENEUVE;3;66,9;66;2
8592;69388;94;;RUE;MARIUS BERLIET;2;44,6;45;2
8593;69389;33;A;RUE;DU 24 MARS 1852;1;33;33;2
8594;69389;33;;RUE;PROFESSEUR PATEL;2;53,95;53;2
8595;71014;5;;RUE;DES TANNERIES;3;67,13;66;2
8596;71153;10;;AV;CHARLES DE GAULLE;4;90,3;90;2
8597;71270;370;;QUAI;LAMARTINE;2;97,39;96;2
8598;72181;58;;RUE;DU PRE;3;54,93;49;2
8599;72181;5;;RUE;LE VERRIER;3;63,47;61;2
8600;74010;13;;RUE;DES ASTERS;3;69,82;65;2
8601;74160;2851;;RTE;DU COL DE MERDASSIER;1;25,43;27;2
8602;74236;241;;RUE;DE LA COMTESSE;4;75,5;77;2
8603;74236;879;;AV;DU MONT PACCARD;5;94,57;106;2
8604;75101;18;;RUE;DE LA GRANDE TRUANDERIE;2;61,74;61;2
8605;75101;60;;RUE;DE L ARBRE SEC;2;32,82;40;2
8606;75101;27;;RUE;DE RICHELIEU;2;59,21;61;2
8607;75103;50;;RUE;VOLTA;2;55,9;49;2
8608;75103;6;;RUE;CHARLES-FRANCOIS DUPUIS;3;60,15;55;2
8609;75103;37;;RUE;DE POITOU;1;8,48;10;2
8610;75104;39;;RUE;STE CROIX BRETONNERIE;2;29,91;30;2
8611;75104;7;;BD;BEAUMARCHAIS;5;108,2;107;2
8612;75105;12;;RUE;MONGE;1;9,02;13;2
8613;75105;38;;RUE;DES BOULANGERS;1;14,19;14;2
8614;75106;4;;RUE;DE LA GRANDE CHAUMIERE;1;28,16;20;2
8615;75106;42;;RUE;DU DRAGON;2;40,02;41;2
8616;75107;17;;RUE;DE CONSTANTINE;6;208,92;200;2
8617;75107;15;;RUE;PIERRE LEROUX;4;59,06;56;2
8618;75108;12;;RUE;BEAUJON;1;18,7;19;2
8619;75108;93;;RUE;DU FAUBOURG SAINT HONORE;2;39,63;40;2
8620;75108;29;;BD;MALESHERBES;3;81,8;83;2
8621;75108;14;;RUE;DE LA PEPINIERE;1;18,39;20;2
8622;75109;6;;PL;GUSTAVE TOUDOUZE;1;23,47;23;2
8623;75109;8;;RUE;BLANCHE;3;72,95;70;2
8624;75109;12;;PAS;BRIARE;1;18,05;18;2
8625;75109;86;;RUE;LA FAYETTE;1;25,02;30;2
8626;75110;18;;RUE;DE BELZUNCE;2;24,68;22;2
8627;75110;199;;RUE;DU FBG SAINT DENIS;3;63,12;70;2
8628;75110;203;;RUE;DU FBG ST MARTIN;1;10,16;18;2
8629;75110;95;;RUE;LA FAYETTE;3;24,5;55;2
8630;75110;15;;RUE;PIERRE DUPONT;2;52,15;49;2
8631;75111;8;;RUE;DE LA FONTAINE AU ROI;3;73,23;82;2
8632;75111;4;;RUE;MERLIN;1;15,03;15;2
8633;75111;52;;RUE;GODEFROY CAVAIGNAC;2;36,37;34;2
8634;75111;265;;BD;VOLTAIRE;2;34,17;34;2
8635;75111;93;B;RUE;DE MONTREUIL;1;18,57;12;2
8636;75112;85;;RUE;DE PICPUS;1;7,16;6;2
8637;75112;24;;BD;DE REUILLY;3;61,08;61;2
8638;75114;5;;RUE;DE LA TOMBE ISSOIRE;2;16,85;16;2
8639;75114;40;;RUE;BEZOUT;1;13,42;15;2
8640;75114;31;;RUE;BREZIN;1;16,76;18;2
8641;75114;32;;RUE;GASSENDI;3;57,28;60;2
8642;75114;25;;RUE;DE LA SABLIERE;1;26,84;22;2
8643;75115;60;B;RUE;DOMBASLE;1;17,04;17;2
